id,original_id,split,target_prefix_ratio,visible_ratio,prefix_tokens,total_tokens,hidden_tokens,prefix_utterance,masked_utterance,full_utterance,full_label,label,label_source
deepseek3000-01760__p040,deepseek3000-01760,train,0.40,0.428571,3,7,4,I need help,I need help <MASK> <MASK> <MASK> <MASK>,I need help planning a dinner menu.,chat,wait,chat_prefix_too_ambiguous
deepseek3000-01760__p060,deepseek3000-01760,train,0.60,0.714286,5,7,2,I need help planning a,I need help planning a <MASK> <MASK>,I need help planning a dinner menu.,chat,wait,chat_prefix_too_ambiguous
deepseek3000-01760__p080,deepseek3000-01760,train,0.80,0.857143,6,7,1,I need help planning a dinner,I need help planning a dinner <MASK>,I need help planning a dinner menu.,chat,chat,high_ratio_no_motion_cue
deepseek3000-01760__p100,deepseek3000-01760,train,1.00,1.000000,7,7,0,I need help planning a dinner menu.,I need help planning a dinner menu.,I need help planning a dinner menu.,chat,chat,complete_input
deepseek3000-02960__p020,deepseek3000-02960,train,0.20,0.250000,2,8,6,What is,What is <MASK> <MASK> <MASK> <MASK> <MASK> <MASK>,What is the longest river in the world?,chat,chat,text_cue_seen
deepseek3000-02960__p040,deepseek3000-02960,train,0.40,0.500000,4,8,4,What is the longest,What is the longest <MASK> <MASK> <MASK> <MASK>,What is the longest river in the world?,chat,chat,text_cue_seen
deepseek3000-02960__p060,deepseek3000-02960,train,0.60,0.625000,5,8,3,What is the longest river,What is the longest river <MASK> <MASK> <MASK>,What is the longest river in the world?,chat,chat,text_cue_seen
deepseek3000-02960__p080,deepseek3000-02960,train,0.80,0.875000,7,8,1,What is the longest river in the,What is the longest river in the <MASK>,What is the longest river in the world?,chat,chat,text_cue_seen
deepseek3000-02960__p100,deepseek3000-02960,train,1.00,1.000000,8,8,0,What is the longest river in the world?,What is the longest river in the world?,What is the longest river in the world?,chat,chat,complete_input
deepseek3000-00197__p020,deepseek3000-00197,train,0.20,0.200000,1,5,4,Tell,Tell <MASK> <MASK> <MASK> <MASK>,Tell me about machine learning.,chat,wait,chat_prefix_too_ambiguous
deepseek3000-00197__p040,deepseek3000-00197,train,0.40,0.400000,2,5,3,Tell me,Tell me <MASK> <MASK> <MASK>,Tell me about machine learning.,chat,chat,text_cue_seen
deepseek3000-00197__p060,deepseek3000-00197,train,0.60,0.600000,3,5,2,Tell me about,Tell me about <MASK> <MASK>,Tell me about machine learning.,chat,chat,text_cue_seen
deepseek3000-00197__p080,deepseek3000-00197,train,0.80,0.800000,4,5,1,Tell me about machine,Tell me about machine <MASK>,Tell me about machine learning.,chat,chat,text_cue_seen
deepseek3000-00197__p100,deepseek3000-00197,train,1.00,1.000000,5,5,0,Tell me about machine learning.,Tell me about machine learning.,Tell me about machine learning.,chat,chat,complete_input
deepseek3000-00266__p020,deepseek3000-00266,train,0.20,0.285714,2,7,5,Can you,Can you <MASK> <MASK> <MASK> <MASK> <MASK>,Can you list the planets in order?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-00266__p040,deepseek3000-00266,train,0.40,0.428571,3,7,4,Can you list,Can you list <MASK> <MASK> <MASK> <MASK>,Can you list the planets in order?,chat,chat,text_cue_seen
deepseek3000-00266__p060,deepseek3000-00266,train,0.60,0.714286,5,7,2,Can you list the planets,Can you list the planets <MASK> <MASK>,Can you list the planets in order?,chat,chat,text_cue_seen
deepseek3000-00266__p080,deepseek3000-00266,train,0.80,0.857143,6,7,1,Can you list the planets in,Can you list the planets in <MASK>,Can you list the planets in order?,chat,chat,text_cue_seen
deepseek3000-00266__p100,deepseek3000-00266,train,1.00,1.000000,7,7,0,Can you list the planets in order?,Can you list the planets in order?,Can you list the planets in order?,chat,chat,complete_input
deepseek3000-02796__p020,deepseek3000-02796,train,0.20,0.250000,1,4,3,Translate,Translate <MASK> <MASK> <MASK>,Translate 'hello' to French.,chat,wait,chat_prefix_too_ambiguous
deepseek3000-02796__p040,deepseek3000-02796,train,0.40,0.500000,2,4,2,Translate 'hello',Translate 'hello' <MASK> <MASK>,Translate 'hello' to French.,chat,wait,chat_prefix_too_ambiguous
deepseek3000-02796__p060,deepseek3000-02796,train,0.60,0.750000,3,4,1,Translate 'hello' to,Translate 'hello' to <MASK>,Translate 'hello' to French.,chat,wait,chat_prefix_too_ambiguous
deepseek3000-02796__p080,deepseek3000-02796,train,0.80,1.000000,4,4,0,Translate 'hello' to French.,Translate 'hello' to French.,Translate 'hello' to French.,chat,chat,complete_input
deepseek3000-02796__p100,deepseek3000-02796,train,1.00,1.000000,4,4,0,Translate 'hello' to French.,Translate 'hello' to French.,Translate 'hello' to French.,chat,chat,complete_input
deepseek3000-01848__p020,deepseek3000-01848,train,0.20,0.285714,2,7,5,Raise your,Raise your <MASK> <MASK> <MASK> <MASK> <MASK>,Raise your arm to ask a question.,motion_query,motion_query,motion_cue_seen
deepseek3000-01848__p040,deepseek3000-01848,train,0.40,0.428571,3,7,4,Raise your arm,Raise your arm <MASK> <MASK> <MASK> <MASK>,Raise your arm to ask a question.,motion_query,motion_query,motion_cue_seen
deepseek3000-01848__p060,deepseek3000-01848,train,0.60,0.714286,5,7,2,Raise your arm to ask,Raise your arm to ask <MASK> <MASK>,Raise your arm to ask a question.,motion_query,motion_query,motion_cue_seen
deepseek3000-01848__p080,deepseek3000-01848,train,0.80,0.857143,6,7,1,Raise your arm to ask a,Raise your arm to ask a <MASK>,Raise your arm to ask a question.,motion_query,motion_query,motion_cue_seen
deepseek3000-01848__p100,deepseek3000-01848,train,1.00,1.000000,7,7,0,Raise your arm to ask a question.,Raise your arm to ask a question.,Raise your arm to ask a question.,motion_query,motion_query,complete_input
deepseek3000-02068__p020,deepseek3000-02068,train,0.20,0.250000,1,4,3,Hold,Hold <MASK> <MASK> <MASK>,Hold the door open.,motion_query,motion_query,motion_cue_seen
deepseek3000-02068__p040,deepseek3000-02068,train,0.40,0.500000,2,4,2,Hold the,Hold the <MASK> <MASK>,Hold the door open.,motion_query,motion_query,motion_cue_seen
deepseek3000-02068__p060,deepseek3000-02068,train,0.60,0.750000,3,4,1,Hold the door,Hold the door <MASK>,Hold the door open.,motion_query,motion_query,motion_cue_seen
deepseek3000-02068__p080,deepseek3000-02068,train,0.80,1.000000,4,4,0,Hold the door open.,Hold the door open.,Hold the door open.,motion_query,motion_query,complete_input
deepseek3000-02068__p100,deepseek3000-02068,train,1.00,1.000000,4,4,0,Hold the door open.,Hold the door open.,Hold the door open.,motion_query,motion_query,complete_input
deepseek3000-01890__p020,deepseek3000-01890,train,0.20,0.250000,2,8,6,Can you,Can you <MASK> <MASK> <MASK> <MASK> <MASK> <MASK>,Can you help me write a cover letter?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-01890__p040,deepseek3000-01890,train,0.40,0.500000,4,8,4,Can you help me,Can you help me <MASK> <MASK> <MASK> <MASK>,Can you help me write a cover letter?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-01890__p060,deepseek3000-01890,train,0.60,0.625000,5,8,3,Can you help me write,Can you help me write <MASK> <MASK> <MASK>,Can you help me write a cover letter?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-01890__p080,deepseek3000-01890,train,0.80,0.875000,7,8,1,Can you help me write a cover,Can you help me write a cover <MASK>,Can you help me write a cover letter?,chat,chat,high_ratio_no_motion_cue
deepseek3000-01890__p100,deepseek3000-01890,train,1.00,1.000000,8,8,0,Can you help me write a cover letter?,Can you help me write a cover letter?,Can you help me write a cover letter?,chat,chat,complete_input
deepseek3000-02999__p020,deepseek3000-02999,train,0.20,0.250000,2,8,6,Can you,Can you <MASK> <MASK> <MASK> <MASK> <MASK> <MASK>,Can you describe a scene from a movie?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-02999__p040,deepseek3000-02999,train,0.40,0.500000,4,8,4,Can you describe a,Can you describe a <MASK> <MASK> <MASK> <MASK>,Can you describe a scene from a movie?,chat,chat,text_cue_seen
deepseek3000-02999__p060,deepseek3000-02999,train,0.60,0.625000,5,8,3,Can you describe a scene,Can you describe a scene <MASK> <MASK> <MASK>,Can you describe a scene from a movie?,chat,chat,text_cue_seen
deepseek3000-02999__p080,deepseek3000-02999,train,0.80,0.875000,7,8,1,Can you describe a scene from a,Can you describe a scene from a <MASK>,Can you describe a scene from a movie?,chat,chat,text_cue_seen
deepseek3000-02999__p100,deepseek3000-02999,train,1.00,1.000000,8,8,0,Can you describe a scene from a movie?,Can you describe a scene from a movie?,Can you describe a scene from a movie?,chat,chat,complete_input
deepseek3000-00164__p020,deepseek3000-00164,train,0.20,0.333333,2,6,4,Stop and,Stop and <MASK> <MASK> <MASK> <MASK>,Stop and stay in that position.,motion_query,motion_query,motion_cue_seen
deepseek3000-00164__p040,deepseek3000-00164,train,0.40,0.500000,3,6,3,Stop and stay,Stop and stay <MASK> <MASK> <MASK>,Stop and stay in that position.,motion_query,motion_query,motion_cue_seen
deepseek3000-00164__p060,deepseek3000-00164,train,0.60,0.666667,4,6,2,Stop and stay in,Stop and stay in <MASK> <MASK>,Stop and stay in that position.,motion_query,motion_query,motion_cue_seen
deepseek3000-00164__p080,deepseek3000-00164,train,0.80,0.833333,5,6,1,Stop and stay in that,Stop and stay in that <MASK>,Stop and stay in that position.,motion_query,motion_query,motion_cue_seen
deepseek3000-00164__p100,deepseek3000-00164,train,1.00,1.000000,6,6,0,Stop and stay in that position.,Stop and stay in that position.,Stop and stay in that position.,motion_query,motion_query,complete_input
deepseek3000-00063__p020,deepseek3000-00063,train,0.20,0.285714,2,7,5,Can you,Can you <MASK> <MASK> <MASK> <MASK> <MASK>,Can you suggest a recipe for dinner?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-00063__p040,deepseek3000-00063,train,0.40,0.428571,3,7,4,Can you suggest,Can you suggest <MASK> <MASK> <MASK> <MASK>,Can you suggest a recipe for dinner?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-00063__p060,deepseek3000-00063,train,0.60,0.714286,5,7,2,Can you suggest a recipe,Can you suggest a recipe <MASK> <MASK>,Can you suggest a recipe for dinner?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-00063__p080,deepseek3000-00063,train,0.80,0.857143,6,7,1,Can you suggest a recipe for,Can you suggest a recipe for <MASK>,Can you suggest a recipe for dinner?,chat,chat,high_ratio_no_motion_cue
deepseek3000-00063__p100,deepseek3000-00063,train,1.00,1.000000,7,7,0,Can you suggest a recipe for dinner?,Can you suggest a recipe for dinner?,Can you suggest a recipe for dinner?,chat,chat,complete_input
deepseek3000-01926__p020,deepseek3000-01926,train,0.20,0.250000,2,8,6,Stay in,Stay in <MASK> <MASK> <MASK> <MASK> <MASK> <MASK>,Stay in your current position until I return.,motion_query,motion_query,motion_cue_seen
deepseek3000-01926__p040,deepseek3000-01926,train,0.40,0.500000,4,8,4,Stay in your current,Stay in your current <MASK> <MASK> <MASK> <MASK>,Stay in your current position until I return.,motion_query,motion_query,motion_cue_seen
deepseek3000-01926__p060,deepseek3000-01926,train,0.60,0.625000,5,8,3,Stay in your current position,Stay in your current position <MASK> <MASK> <MASK>,Stay in your current position until I return.,motion_query,motion_query,motion_cue_seen
deepseek3000-01926__p080,deepseek3000-01926,train,0.80,0.875000,7,8,1,Stay in your current position until I,Stay in your current position until I <MASK>,Stay in your current position until I return.,motion_query,motion_query,motion_cue_seen
deepseek3000-01926__p100,deepseek3000-01926,train,1.00,1.000000,8,8,0,Stay in your current position until I return.,Stay in your current position until I return.,Stay in your current position until I return.,motion_query,motion_query,complete_input
deepseek3000-02678__p020,deepseek3000-02678,train,0.20,0.333333,2,6,4,What's your,What's your <MASK> <MASK> <MASK> <MASK>,What's your opinion on artificial intelligence?,chat,chat,text_cue_seen
deepseek3000-02678__p040,deepseek3000-02678,train,0.40,0.500000,3,6,3,What's your opinion,What's your opinion <MASK> <MASK> <MASK>,What's your opinion on artificial intelligence?,chat,chat,text_cue_seen
deepseek3000-02678__p060,deepseek3000-02678,train,0.60,0.666667,4,6,2,What's your opinion on,What's your opinion on <MASK> <MASK>,What's your opinion on artificial intelligence?,chat,chat,text_cue_seen
deepseek3000-02678__p080,deepseek3000-02678,train,0.80,0.833333,5,6,1,What's your opinion on artificial,What's your opinion on artificial <MASK>,What's your opinion on artificial intelligence?,chat,chat,text_cue_seen
deepseek3000-02678__p100,deepseek3000-02678,train,1.00,1.000000,6,6,0,What's your opinion on artificial intelligence?,What's your opinion on artificial intelligence?,What's your opinion on artificial intelligence?,chat,chat,complete_input
deepseek3000-00493__p020,deepseek3000-00493,train,0.20,0.333333,2,6,4,Explain the,Explain the <MASK> <MASK> <MASK> <MASK>,Explain the theory of relativity briefly.,chat,chat,text_cue_seen
deepseek3000-00493__p040,deepseek3000-00493,train,0.40,0.500000,3,6,3,Explain the theory,Explain the theory <MASK> <MASK> <MASK>,Explain the theory of relativity briefly.,chat,chat,text_cue_seen
deepseek3000-00493__p060,deepseek3000-00493,train,0.60,0.666667,4,6,2,Explain the theory of,Explain the theory of <MASK> <MASK>,Explain the theory of relativity briefly.,chat,chat,text_cue_seen
deepseek3000-00493__p080,deepseek3000-00493,train,0.80,0.833333,5,6,1,Explain the theory of relativity,Explain the theory of relativity <MASK>,Explain the theory of relativity briefly.,chat,chat,text_cue_seen
deepseek3000-00493__p100,deepseek3000-00493,train,1.00,1.000000,6,6,0,Explain the theory of relativity briefly.,Explain the theory of relativity briefly.,Explain the theory of relativity briefly.,chat,chat,complete_input
deepseek3000-00269__p020,deepseek3000-00269,train,0.20,0.250000,2,8,6,Turn your,Turn your <MASK> <MASK> <MASK> <MASK> <MASK> <MASK>,Turn your head to look at the screen.,motion_query,motion_query,motion_cue_seen
deepseek3000-00269__p040,deepseek3000-00269,train,0.40,0.500000,4,8,4,Turn your head to,Turn your head to <MASK> <MASK> <MASK> <MASK>,Turn your head to look at the screen.,motion_query,motion_query,motion_cue_seen
deepseek3000-00269__p060,deepseek3000-00269,train,0.60,0.625000,5,8,3,Turn your head to look,Turn your head to look <MASK> <MASK> <MASK>,Turn your head to look at the screen.,motion_query,motion_query,motion_cue_seen
deepseek3000-00269__p080,deepseek3000-00269,train,0.80,0.875000,7,8,1,Turn your head to look at the,Turn your head to look at the <MASK>,Turn your head to look at the screen.,motion_query,motion_query,motion_cue_seen
deepseek3000-00269__p100,deepseek3000-00269,train,1.00,1.000000,8,8,0,Turn your head to look at the screen.,Turn your head to look at the screen.,Turn your head to look at the screen.,motion_query,motion_query,complete_input
deepseek3000-02249__p020,deepseek3000-02249,train,0.20,0.333333,2,6,4,Lift your,Lift your <MASK> <MASK> <MASK> <MASK>,Lift your arm to shoulder height.,motion_query,motion_query,motion_cue_seen
deepseek3000-02249__p040,deepseek3000-02249,train,0.40,0.500000,3,6,3,Lift your arm,Lift your arm <MASK> <MASK> <MASK>,Lift your arm to shoulder height.,motion_query,motion_query,motion_cue_seen
deepseek3000-02249__p060,deepseek3000-02249,train,0.60,0.666667,4,6,2,Lift your arm to,Lift your arm to <MASK> <MASK>,Lift your arm to shoulder height.,motion_query,motion_query,motion_cue_seen
deepseek3000-02249__p080,deepseek3000-02249,train,0.80,0.833333,5,6,1,Lift your arm to shoulder,Lift your arm to shoulder <MASK>,Lift your arm to shoulder height.,motion_query,motion_query,motion_cue_seen
deepseek3000-02249__p100,deepseek3000-02249,train,1.00,1.000000,6,6,0,Lift your arm to shoulder height.,Lift your arm to shoulder height.,Lift your arm to shoulder height.,motion_query,motion_query,complete_input
deepseek3000-01948__p020,deepseek3000-01948,train,0.20,0.250000,1,4,3,Close,Close <MASK> <MASK> <MASK>,Close the window gently.,motion_query,wait,motion_cue_not_seen
deepseek3000-01948__p040,deepseek3000-01948,train,0.40,0.500000,2,4,2,Close the,Close the <MASK> <MASK>,Close the window gently.,motion_query,wait,motion_cue_not_seen
deepseek3000-01948__p060,deepseek3000-01948,train,0.60,0.750000,3,4,1,Close the window,Close the window <MASK>,Close the window gently.,motion_query,wait,motion_cue_not_seen
deepseek3000-01948__p080,deepseek3000-01948,train,0.80,1.000000,4,4,0,Close the window gently.,Close the window gently.,Close the window gently.,motion_query,motion_query,complete_input
deepseek3000-01948__p100,deepseek3000-01948,train,1.00,1.000000,4,4,0,Close the window gently.,Close the window gently.,Close the window gently.,motion_query,motion_query,complete_input
deepseek3000-01093__p020,deepseek3000-01093,train,0.20,0.333333,2,6,4,Place the,Place the <MASK> <MASK> <MASK> <MASK>,Place the flowers in the vase.,motion_query,motion_query,motion_cue_seen
deepseek3000-01093__p040,deepseek3000-01093,train,0.40,0.500000,3,6,3,Place the flowers,Place the flowers <MASK> <MASK> <MASK>,Place the flowers in the vase.,motion_query,motion_query,motion_cue_seen
deepseek3000-01093__p060,deepseek3000-01093,train,0.60,0.666667,4,6,2,Place the flowers in,Place the flowers in <MASK> <MASK>,Place the flowers in the vase.,motion_query,motion_query,motion_cue_seen
deepseek3000-01093__p080,deepseek3000-01093,train,0.80,0.833333,5,6,1,Place the flowers in the,Place the flowers in the <MASK>,Place the flowers in the vase.,motion_query,motion_query,motion_cue_seen
deepseek3000-01093__p100,deepseek3000-01093,train,1.00,1.000000,6,6,0,Place the flowers in the vase.,Place the flowers in the vase.,Place the flowers in the vase.,motion_query,motion_query,complete_input
deepseek3000-00781__p020,deepseek3000-00781,train,0.20,0.250000,2,8,6,What are,What are <MASK> <MASK> <MASK> <MASK> <MASK> <MASK>,What are the best practices for time management?,chat,chat,text_cue_seen
deepseek3000-00781__p040,deepseek3000-00781,train,0.40,0.500000,4,8,4,What are the best,What are the best <MASK> <MASK> <MASK> <MASK>,What are the best practices for time management?,chat,chat,text_cue_seen
deepseek3000-00781__p060,deepseek3000-00781,train,0.60,0.625000,5,8,3,What are the best practices,What are the best practices <MASK> <MASK> <MASK>,What are the best practices for time management?,chat,chat,text_cue_seen
deepseek3000-00781__p080,deepseek3000-00781,train,0.80,0.875000,7,8,1,What are the best practices for time,What are the best practices for time <MASK>,What are the best practices for time management?,chat,chat,text_cue_seen
deepseek3000-00781__p100,deepseek3000-00781,train,1.00,1.000000,8,8,0,What are the best practices for time management?,What are the best practices for time management?,What are the best practices for time management?,chat,chat,complete_input
deepseek3000-00611__p020,deepseek3000-00611,train,0.20,0.285714,2,7,5,Do you,Do you <MASK> <MASK> <MASK> <MASK> <MASK>,Do you have emotions like humans do?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-00611__p040,deepseek3000-00611,train,0.40,0.428571,3,7,4,Do you have,Do you have <MASK> <MASK> <MASK> <MASK>,Do you have emotions like humans do?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-00611__p060,deepseek3000-00611,train,0.60,0.714286,5,7,2,Do you have emotions like,Do you have emotions like <MASK> <MASK>,Do you have emotions like humans do?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-00611__p080,deepseek3000-00611,train,0.80,0.857143,6,7,1,Do you have emotions like humans,Do you have emotions like humans <MASK>,Do you have emotions like humans do?,chat,chat,high_ratio_no_motion_cue
deepseek3000-00611__p100,deepseek3000-00611,train,1.00,1.000000,7,7,0,Do you have emotions like humans do?,Do you have emotions like humans do?,Do you have emotions like humans do?,chat,chat,complete_input
deepseek3000-01866__p020,deepseek3000-01866,train,0.20,0.200000,1,5,4,Bow,Bow <MASK> <MASK> <MASK> <MASK>,Bow slightly as a greeting.,motion_query,wait,motion_cue_not_seen
deepseek3000-01866__p040,deepseek3000-01866,train,0.40,0.400000,2,5,3,Bow slightly,Bow slightly <MASK> <MASK> <MASK>,Bow slightly as a greeting.,motion_query,wait,motion_cue_not_seen
deepseek3000-01866__p060,deepseek3000-01866,train,0.60,0.600000,3,5,2,Bow slightly as,Bow slightly as <MASK> <MASK>,Bow slightly as a greeting.,motion_query,wait,motion_cue_not_seen
deepseek3000-01866__p080,deepseek3000-01866,train,0.80,0.800000,4,5,1,Bow slightly as a,Bow slightly as a <MASK>,Bow slightly as a greeting.,motion_query,wait,motion_cue_not_seen
deepseek3000-01866__p100,deepseek3000-01866,train,1.00,1.000000,5,5,0,Bow slightly as a greeting.,Bow slightly as a greeting.,Bow slightly as a greeting.,motion_query,motion_query,complete_input
deepseek3000-02271__p020,deepseek3000-02271,train,0.20,0.200000,1,5,4,What,What <MASK> <MASK> <MASK> <MASK>,What is the largest ocean?,chat,chat,text_cue_seen
deepseek3000-02271__p040,deepseek3000-02271,train,0.40,0.400000,2,5,3,What is,What is <MASK> <MASK> <MASK>,What is the largest ocean?,chat,chat,text_cue_seen
deepseek3000-02271__p060,deepseek3000-02271,train,0.60,0.600000,3,5,2,What is the,What is the <MASK> <MASK>,What is the largest ocean?,chat,chat,text_cue_seen
deepseek3000-02271__p080,deepseek3000-02271,train,0.80,0.800000,4,5,1,What is the largest,What is the largest <MASK>,What is the largest ocean?,chat,chat,text_cue_seen
deepseek3000-02271__p100,deepseek3000-02271,train,1.00,1.000000,5,5,0,What is the largest ocean?,What is the largest ocean?,What is the largest ocean?,chat,chat,complete_input
deepseek3000-01170__p020,deepseek3000-01170,train,0.20,0.250000,1,4,3,Wave,Wave <MASK> <MASK> <MASK>,Wave at the camera.,motion_query,motion_query,motion_cue_seen
deepseek3000-01170__p040,deepseek3000-01170,train,0.40,0.500000,2,4,2,Wave at,Wave at <MASK> <MASK>,Wave at the camera.,motion_query,motion_query,motion_cue_seen
deepseek3000-01170__p060,deepseek3000-01170,train,0.60,0.750000,3,4,1,Wave at the,Wave at the <MASK>,Wave at the camera.,motion_query,motion_query,motion_cue_seen
deepseek3000-01170__p080,deepseek3000-01170,train,0.80,1.000000,4,4,0,Wave at the camera.,Wave at the camera.,Wave at the camera.,motion_query,motion_query,complete_input
deepseek3000-01170__p100,deepseek3000-01170,train,1.00,1.000000,4,4,0,Wave at the camera.,Wave at the camera.,Wave at the camera.,motion_query,motion_query,complete_input
deepseek3000-02392__p020,deepseek3000-02392,train,0.20,0.250000,2,8,6,Hold this,Hold this <MASK> <MASK> <MASK> <MASK> <MASK> <MASK>,Hold this box steady while I tape it.,motion_query,motion_query,motion_cue_seen
deepseek3000-02392__p040,deepseek3000-02392,train,0.40,0.500000,4,8,4,Hold this box steady,Hold this box steady <MASK> <MASK> <MASK> <MASK>,Hold this box steady while I tape it.,motion_query,motion_query,motion_cue_seen
deepseek3000-02392__p060,deepseek3000-02392,train,0.60,0.625000,5,8,3,Hold this box steady while,Hold this box steady while <MASK> <MASK> <MASK>,Hold this box steady while I tape it.,motion_query,motion_query,motion_cue_seen
deepseek3000-02392__p080,deepseek3000-02392,train,0.80,0.875000,7,8,1,Hold this box steady while I tape,Hold this box steady while I tape <MASK>,Hold this box steady while I tape it.,motion_query,motion_query,motion_cue_seen
deepseek3000-02392__p100,deepseek3000-02392,train,1.00,1.000000,8,8,0,Hold this box steady while I tape it.,Hold this box steady while I tape it.,Hold this box steady while I tape it.,motion_query,motion_query,complete_input
deepseek3000-02916__p020,deepseek3000-02916,train,0.20,0.250000,2,8,6,Look at,Look at <MASK> <MASK> <MASK> <MASK> <MASK> <MASK>,Look at the red object on my left.,motion_query,motion_query,motion_cue_seen
deepseek3000-02916__p040,deepseek3000-02916,train,0.40,0.500000,4,8,4,Look at the red,Look at the red <MASK> <MASK> <MASK> <MASK>,Look at the red object on my left.,motion_query,motion_query,motion_cue_seen
deepseek3000-02916__p060,deepseek3000-02916,train,0.60,0.625000,5,8,3,Look at the red object,Look at the red object <MASK> <MASK> <MASK>,Look at the red object on my left.,motion_query,motion_query,motion_cue_seen
deepseek3000-02916__p080,deepseek3000-02916,train,0.80,0.875000,7,8,1,Look at the red object on my,Look at the red object on my <MASK>,Look at the red object on my left.,motion_query,motion_query,motion_cue_seen
deepseek3000-02916__p100,deepseek3000-02916,train,1.00,1.000000,8,8,0,Look at the red object on my left.,Look at the red object on my left.,Look at the red object on my left.,motion_query,motion_query,complete_input
deepseek3000-01473__p020,deepseek3000-01473,train,0.20,0.285714,2,7,5,Why did,Why did <MASK> <MASK> <MASK> <MASK> <MASK>,Why did the chicken cross the road?,chat,chat,text_cue_seen
deepseek3000-01473__p040,deepseek3000-01473,train,0.40,0.428571,3,7,4,Why did the,Why did the <MASK> <MASK> <MASK> <MASK>,Why did the chicken cross the road?,chat,chat,text_cue_seen
deepseek3000-01473__p060,deepseek3000-01473,train,0.60,0.714286,5,7,2,Why did the chicken cross,Why did the chicken cross <MASK> <MASK>,Why did the chicken cross the road?,chat,chat,text_cue_seen
deepseek3000-01473__p080,deepseek3000-01473,train,0.80,0.857143,6,7,1,Why did the chicken cross the,Why did the chicken cross the <MASK>,Why did the chicken cross the road?,chat,chat,text_cue_seen
deepseek3000-01473__p100,deepseek3000-01473,train,1.00,1.000000,7,7,0,Why did the chicken cross the road?,Why did the chicken cross the road?,Why did the chicken cross the road?,chat,chat,complete_input
deepseek3000-01009__p020,deepseek3000-01009,train,0.20,0.285714,2,7,5,Make a,Make a <MASK> <MASK> <MASK> <MASK> <MASK>,Make a peace sign with your fingers.,motion_query,wait,motion_cue_not_seen
deepseek3000-01009__p040,deepseek3000-01009,train,0.40,0.428571,3,7,4,Make a peace,Make a peace <MASK> <MASK> <MASK> <MASK>,Make a peace sign with your fingers.,motion_query,wait,motion_cue_not_seen
deepseek3000-01009__p060,deepseek3000-01009,train,0.60,0.714286,5,7,2,Make a peace sign with,Make a peace sign with <MASK> <MASK>,Make a peace sign with your fingers.,motion_query,wait,motion_cue_not_seen
deepseek3000-01009__p080,deepseek3000-01009,train,0.80,0.857143,6,7,1,Make a peace sign with your,Make a peace sign with your <MASK>,Make a peace sign with your fingers.,motion_query,wait,motion_cue_not_seen
deepseek3000-01009__p100,deepseek3000-01009,train,1.00,1.000000,7,7,0,Make a peace sign with your fingers.,Make a peace sign with your fingers.,Make a peace sign with your fingers.,motion_query,motion_query,complete_input
deepseek3000-01019__p020,deepseek3000-01019,train,0.20,0.333333,2,6,4,Can you,Can you <MASK> <MASK> <MASK> <MASK>,Can you suggest a workout routine?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-01019__p040,deepseek3000-01019,train,0.40,0.500000,3,6,3,Can you suggest,Can you suggest <MASK> <MASK> <MASK>,Can you suggest a workout routine?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-01019__p060,deepseek3000-01019,train,0.60,0.666667,4,6,2,Can you suggest a,Can you suggest a <MASK> <MASK>,Can you suggest a workout routine?,chat,wait,chat_prefix_too_ambiguous
deepseek3000-01019__p080,deepseek3000-01019,train,0.80,0.833333,5,6,1,Can you suggest a workout,Can you suggest a workout <MASK>,Can you suggest a workout routine?,chat,chat,high_ratio_no_motion_cue
deepseek3000-01019__p100,deepseek3000-01019,train,1.00,1.000000,6,6,0,Can you suggest a workout routine?,Can you suggest a workout routine?,Can you suggest a workout routine?,chat,chat,complete_input
deepseek3000-01051__p020,deepseek3000-01051,train,0.20,0.200000,1,5,4,Which,Which <MASK> <MASK> <MASK> <MASK>,Which song is currently popular?,chat,chat,text_cue_seen
deepseek3000-01051__p040,deepseek3000-01051,train,0.40,0.400000,2,5,3,Which song,Which song <MASK> <MASK> <MASK>,Which song is currently popular?,chat,chat,text_cue_seen
deepseek3000-01051__p060,deepseek3000-01051,train,0.60,0.600000,3,5,2,Which song is,Which song is <MASK> <MASK>,Which song is currently popular?,chat,chat,text_cue_seen
deepseek3000-01051__p080,deepseek3000-01051,train,0.80,0.800000,4,5,1,Which song is currently,Which song is currently <MASK>,Which song is currently popular?,chat,chat,text_cue_seen
deepseek3000-01051__p100,deepseek3000-01051,train,1.00,1.000000,5,5,0,Which song is currently popular?,Which song is currently popular?,Which song is currently popular?,chat,chat,complete_input
deepseek3000-01915__p020,deepseek3000-01915,train,0.20,0.222222,2,9,7,I feel,I feel <MASK> <MASK> <MASK> <MASK> <MASK> <MASK> <MASK>,I feel lonely today. Can you chat with me?,chat,wait,chat_prefix_too_ambiguous
